skewness,song,spectral_rolloff,energy,spread,centroid,zcr,genre,kurtosis
1.797645e+00,electronic_vs_classical/10 - Motherboard.mp3,3.628345e+03,8.922820e-02,2.553483e+03,1.835695e+03,3.231812e-02,electronic,-2.081064e+00
1.917454e+00,electronic_vs_classical/10 - Motherboard.mp3,1.500595e+03,1.079168e-01,2.783069e+03,1.889116e+03,2.420044e-02,electronic,-1.158510e+00
5.352730e+00,electronic_vs_classical/10 - Motherboard.mp3,5.867798e+02,1.982962e-01,1.434356e+03,5.443419e+02,1.470947e-02,electronic,3.039239e+01
3.406421e+00,electronic_vs_classical/10 - Motherboard.mp3,7.334747e+02,2.044178e-01,1.954358e+03,8.843669e+02,1.116943e-02,electronic,1.059721e+01
1.302427e+00,electronic_vs_classical/10 - Motherboard.mp3,6.664526e+03,3.154483e-02,2.485453e+03,2.605332e+03,4.977417e-02,electronic,-1.239694e+01
4.092153e+00,electronic_vs_classical/10 - Motherboard.mp3,9.703400e+02,3.507683e-02,1.765186e+03,7.972783e+02,1.803589e-02,electronic,1.646776e+01
1.247445e+00,electronic_vs_classical/10 - Motherboard.mp3,8.209534e+03,1.241895e-01,2.950267e+03,2.578349e+03,6.317139e-02,electronic,-7.593977e+00
1.445389e+00,electronic_vs_classical/10 - Motherboard.mp3,5.287747e+03,1.534430e-01,2.892578e+03,2.170233e+03,4.302979e-02,electronic,-4.270586e+00
4.258844e+00,electronic_vs_classical/07 - Touch.mp3,1.612299e+03,1.732593e-01,1.540754e+03,7.572561e+02,2.304077e-02,electronic,1.666362e+01
9.082216e-01,electronic_vs_classical/07 - Touch.mp3,4.005176e+03,1.307685e-01,3.752994e+03,3.410293e+03,3.332520e-02,electronic,-9.612262e+00
1.282657e+00,electronic_vs_classical/07 - Touch.mp3,2.738754e+03,1.439132e-01,3.483866e+03,2.809879e+03,3.192139e-02,electronic,-6.066996e+00
1.151397e+00,electronic_vs_classical/07 - Touch.mp3,6.258087e+02,9.971922e-02,3.674132e+03,2.699178e+03,2.047729e-02,electronic,-5.137626e+00
