skewness,song,spectral_rolloff,energy,sv,spread,centroid,zcr,obsi,genre,kurtosis
1.58890637563,songs/System Of A Down - Cigaro.mp3,7532.99645725,0.331321758354,0.282655676471,2560.87613445,2476.16094958,0.0841833803361,11.3010494958,metal,-8.47348806303
1.44111042282,songs/Metallica - Nothing Else Matters.mp3,6623.34371347,0.161303524099,0.347042929269,2868.80971777,2734.61535616,0.0539423113166,9.6702974086,metal,-8.99927286722
2.03203373331,songs/System Of A Down - Lost In Hollywood.mp3,4894.83091103,0.277369423516,0.331675892157,2419.41642883,2036.62256708,0.0480340704911,10.1932536103,metal,-1.77642315039
1.54109791846,songs/System Of A Down - Peephole.mp3,6732.2282859,0.296460977338,0.321844250282,2610.92910256,2596.36028487,0.0696514428205,12.4114132738,metal,-9.67181863374
1.4636526056,songs/System Of A Down - Revenga.mp3,8429.86269392,0.298771861112,0.285267345912,2818.41210462,2799.52053917,0.0881970635134,12.1294994012,metal,-9.64104457859
1.83558357468,songs/System Of A Down - Hypnotize.mp3,6258.24064035,0.228748166703,0.333105408187,2648.07653216,2491.36368713,0.0774887724854,10.2923924105,metal,-6.79037377336
1.52814749044,songs/Metallica - One.mp3,6994.48596245,0.185699635535,0.342540791139,2574.40611389,2713.79893742,0.0821002682503,10.9936023234,metal,-11.4534959484
1.46323373976,songs/System Of A Down - Bounce.mp3,7645.78325243,0.278736164973,0.235292258252,2746.48831553,2646.75321845,0.0740113486893,10.474019733,metal,-9.84622735922
1.77885267056,songs/System Of A Down - Snowblind.mp3,5098.58586854,0.224389464168,0.317654933083,2651.85601875,2191.31334167,0.0431017557438,11.181901925,metal,-3.84434600012
1.68570810193,songs/System Of A Down - Chop Suey!.mp3,7256.63619683,0.253553241613,0.297209441021,2954.99586243,2728.23456032,0.0741831459577,9.9434142381,metal,-7.17966221577
1.63109447948,songs/System Of A Down - Kill Rock 'N' Roll.mp3,7141.36524562,0.319393565994,0.316619133582,2496.68673881,2493.01071269,0.0797723798097,10.9307297612,metal,-9.25400133515
1.65582599215,songs/Metallica - Welcome Home (Sanitarium).mp3,6028.08409026,0.233868495235,0.300873650845,2552.85079083,2471.3892361,0.0608466728367,8.82368075903,metal,-7.82939088603
1.67598049654,songs/System Of A Down - Know.mp3,6139.16778302,0.326318170943,0.274168185535,2604.01080189,2376.55528302,0.0585126577044,10.6257764748,metal,-6.51647095575
1.91938676318,songs/System Of A Down - Holy Mountains.mp3,6234.72619611,0.301721132997,0.325691719071,2446.28757331,2312.37931436,0.069847365,10.8663173226,metal,-5.14725946458
1.44199895238,songs/System Of A Down - Deer Dance.mp3,9680.66167365,0.230611711657,0.295487984413,3214.19532698,3075.20027714,0.0919238860635,10.6508373587,metal,-8.80624681587
2.07727027986,songs/System Of A Down - War.mp3,5981.58548958,0.250298088236,0.299720078819,2366.02933681,2177.72185417,0.0669802562604,8.68467361111,metal,-3.85387651458
1.67650170221,songs/System Of A Down - Streamline.mp3,6277.60161538,0.293126634354,0.310229823051,2963.66115897,2617.25844769,0.0618890227915,11.9595995385,metal,-6.08836630044
1.43220939277,songs/System Of A Down - Vicinity Of Obscenity.mp3,8550.27626073,0.253537771578,0.337031611551,2782.46653795,2806.90106931,0.0886821683894,11.2937832419,metal,-12.9432261343
1.36854030566,songs/System Of A Down - Bubbles.mp3,8593.3666066,0.360813871792,0.284212268491,3391.02251887,3082.44317075,0.0629258064434,12.9524025142,metal,-8.39493143915
1.45531326432,songs/System Of A Down - Attack.mp3,7562.23189286,0.282087518106,0.309809535714,2871.40199107,2731.45917262,0.0763390854167,11.281649125,metal,-9.27480891548
1.01745591271,songs/Metallica - Sad But True.mp3,10024.3362161,0.2323908591,0.323932300034,3089.61601201,3396.87627444,0.098101712247,11.6030449074,metal,-16.5526123465
1.78001404134,songs/Metallica - Orion (Instramental).mp3,5321.75730669,0.211139002398,0.291107479093,2561.20058333,2412.28902401,0.0546406863257,8.64408320855,metal,-6.90931429615
1.9624107715,songs/System Of A Down - Aerials.mp3,6035.91088385,0.237428177339,0.356785903295,2783.03191449,2443.20304489,0.0601796497292,9.55442725867,metal,-3.78593970653
1.52347239937,songs/System Of A Down - Old School Hollywood.mp3,7506.33997195,0.296252890553,0.305165988625,2769.6829,2634.9110025,0.0803277972806,12.1061637944,metal,-8.84064827
1.62708734238,songs/System Of A Down - Ego Brain.mp3,7056.50080055,0.282516676397,0.347591762825,3049.0925651,2853.7626482,0.0707681494183,10.9915919801,metal,-7.65743907285
1.34369267198,songs/System Of A Down - I-E-A-I-A-I-O.mp3,9239.41943953,0.325826825394,0.278099681416,3274.49218584,3100.99365782,0.0879487794476,12.3019366401,metal,-9.22622574779
1.41133171798,songs/Metallica - Jump In The Fire.mp3,7934.1634664,0.241828314282,0.264654187747,2874.25557905,2858.60579644,0.0938259919249,12.2743901913,metal,-10.3919737312
2.37063573601,songs/System Of A Down - Spiders.mp3,4463.16080855,0.262278050725,0.278738870777,2431.87433238,1971.74996528,0.0431055255777,10.4043348886,metal,1.69866582508
1.46962396774,songs/System Of A Down - Highway Song.mp3,7968.72327714,0.298570426949,0.259708939886,3118.78613714,2933.07105143,0.0723540390543,11.9030699971,metal,-8.15835372326
1.71847656213,songs/System Of A Down - Radio-Video.mp3,6606.37105791,0.279452143756,0.3547003949,2687.88669488,2463.92712205,0.0717790432739,10.8740899323,metal,-6.22020946547
1.56368136299,songs/Metallica - Master Of Puppets.mp3,6730.89418398,0.240917150534,0.292288645996,2599.57435173,2668.9862619,0.0786673145238,9.8112083224,metal,-10.4893326153
